id,source,target,relation,source_text
E203,G047,P109,TRAVEL,第一船擧帆指奄美嶋發去。未知其着處。
E204,G047,L247,TRAVEL,第一船擧帆指奄美嶋發去。未知其着處。
E205,E522,G046,HAS_SUBJECT,第一第四舶。忽遇逆風。流着壹伎嶋。
E206,E522,P090,HAS_OBJECT,第一第四舶。忽遇逆風。流着壹伎嶋。
E207,E522,P090,AT_LOCATION,第一第四舶。忽遇逆風。流着壹伎嶋。
E208,G046,P090,TRAVEL,第一第四舶。忽遇逆風。流着壹伎嶋。
E209,E533,G049,HAS_SUBJECT,第二舶左右方便漂着値賀嶋。
E210,E533,P029,HAS_OBJECT,第二舶左右方便漂着値賀嶋。
E211,E533,P029,AT_LOCATION,第二舶左右方便漂着値賀嶋。
E212,G049,P029,TRAVEL,第二舶左右方便漂着値賀嶋。
E213,E544,P089,HAS_SUBJECT,遣小錦下坂合部連石布、大仙下津守連吉祥，使於唐國。
E214,E544,L193,AT_LOCATION,遣小錦下坂合部連石布、大仙下津守連吉祥，使於唐國。
E215,P089,L193,PARTICIPATE,遣小錦下坂合部連石布、大仙下津守連吉祥，使於唐國。
E216,E555,P190,HAS_SUBJECT,遣小錦下坂合部連石布、大仙下津守連吉祥，使於唐國。
E217,E555,L193,AT_LOCATION,遣小錦下坂合部連石布、大仙下津守連吉祥，使於唐國。
E218,P190,L193,PARTICIPATE,遣小錦下坂合部連石布、大仙下津守連吉祥，使於唐國。
E219,E567,P245,HAS_SUBJECT,遣唐知乘船事菅原梶成等所駕第二舶廻着於大隅國。
E220,E567,P104,HAS_OBJECT,遣唐知乘船事菅原梶成等所駕第二舶廻着於大隅國。
E221,E567,P104,AT_LOCATION,遣唐知乘船事菅原梶成等所駕第二舶廻着於大隅國。
E222,P245,P104,TRAVEL,遣唐知乘船事菅原梶成等所駕第二舶廻着於大隅國。
E223,E578,P087,HAS_SUBJECT,大唐學生土師宿禰甥、白豬史寶然，及百濟役時沒大唐者豬使連子首、筑紫三宅連得許，傳新羅至。
E224,E578,L193,HAS_OBJECT,大唐學生土師宿禰甥、白豬史寶然，及百濟役時沒大唐者豬使連子首、筑紫三宅連得許，傳新羅至。
E225,E578,L193,AT_LOCATION,大唐學生土師宿禰甥、白豬史寶然，及百濟役時沒大唐者豬使連子首、筑紫三宅連得許，傳新羅至。
E226,P087,L193,TRAVEL,大唐學生土師宿禰甥、白豬史寶然，及百濟役時沒大唐者豬使連子首、筑紫三宅連得許，傳新羅至。
E227,E589,L295,HAS_SUBJECT,召遣唐使副使已上於内裏。詔給節刀。仍授大使從四位上藤原朝臣清河正四位下。
E228,E589,L193,AT_LOCATION,召遣唐使副使已上於内裏。詔給節刀。仍授大使從四位上藤原朝臣清河正四位下。
E229,L295,L193,PARTICIPATE,召遣唐使副使已上於内裏。詔給節刀。仍授大使從四位上藤原朝臣清河正四位下。
E230,E600,P272,HAS_SUBJECT,遣唐使等拜朝。
E231,E600,L193,AT_LOCATION,遣唐使等拜朝。
E232,P272,L193,PARTICIPATE,遣唐使等拜朝。
E233,E611,P272,HAS_SUBJECT,遣唐使於八省院朝拜。
